timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1764504000000,1764590399999,1764553080000,1764590340000,0.1485688535245169,0.150481930723243,0.1466685513985748,0.1466685513985748,717631352.35
1764417600000,1764503999999,1764422340000,1764484560000,0.1502787336071819,0.1508009804844205,0.1476192919212202,0.1485685410245169,648320199.3
1764331200000,1764417599999,1764387180000,1764396480000,0.1526895082941648,0.1550081707580114,0.1486302469401131,0.1502800797981647,1307624427.06
1764244800000,1764331199999,1764253920000,1764291540000,0.1547779477356646,0.1554625072024759,0.1523588005850076,0.1526894301465561,922512953.44
1764158400000,1764244799999,1764224340000,1764202980000,0.15297224293368,0.1566017138196295,0.1489002598007092,0.1547777124415469,1505665002.31
1764072000000,1764158399999,1764155940000,1764125520000,0.1517948294099148,0.1547385140825885,0.1463094594117402,0.152972143923779,1584986684.07
1763985600000,1764071999999,1764060960000,1764039120000,0.1448309437637885,0.1535951491601544,0.1437798893055249,0.1517942766897718,1886500746.61
1763899200000,1763985599999,1763957340000,1763902200000,0.1403043805345121,0.1474255583000778,0.139760314070764,0.1448309437637885,1345739666.32
1763812800000,1763899199999,1763895360000,1763829840000,0.1401822879458058,0.1419058308828145,0.1358976416302474,0.1403042795244111,1508164779.87
1763726400000,1763812799999,1763731860000,1763771460000,0.1490933031702783,0.1506262383566547,0.1341135776844208,0.1401818602862313,3788412140.4
1763640000000,1763726399999,1763693940000,1763709000000,0.1543252423851075,0.1590998490976141,0.1464359604114877,0.1490919177413988,2500681052.71
1763553600000,1763639999999,1763561880000,1763621700000,0.1617043718908093,0.1620974555628162,0.1473095402286748,0.1543247726711064,2265496568.35
1763467200000,1763553599999,1763548680000,1763470020000,0.1518920780981343,0.1625333183329373,0.1501024449662992,0.1617043718908093,2444487368.74
1763380800000,1763467199999,1763434380000,1763459520000,0.1586605568328454,0.1639451821240453,0.1509192896624668,0.1518923665596727,2792290270.18
1763294400000,1763380799999,1763330460000,1763359080000,0.1631370737453639,0.1653283022588895,0.1544168831095834,0.1586606398517133,1764383844.86
1763208000000,1763294399999,1763272680000,1763208060000,0.1574657658023705,0.1642928037088133,0.1574649089273307,0.1631369662184822,1245164552.98
1763121600000,1763207999999,1763149920000,1763205060000,0.164296244855146,0.1657192134197761,0.1554169422843189,0.1574657658023705,3090051874.02
1763035200000,1763121599999,1763062260000,1763113200000,0.1700812369328452,0.1767949067021439,0.1603216445906909,0.1642956970290591,2729846444.35
1762948800000,1763035199999,1763000340000,1763019300000,0.1720199583811485,0.1782840864817538,0.1674814770168744,0.170080854563028,1803938274.74
1762862400000,1762948799999,1762867380000,1762948500000,0.1818129629232521,0.1853456608730596,0.1718704273428581,0.1720248317011537,2107396312.2
1762776000000,1762862399999,1762811520000,1762836480000,0.1792592264591075,0.1850185577936198,0.1776603856246647,0.1818139585017654,2127003685.42
1762689600000,1762775999999,1762772640000,1762703340000,0.1761820482293918,0.1809643313513848,0.1716786515481525,0.1792602852826369,1608940508.62
1762603200000,1762689599999,1762616100000,1762661400000,0.1786739439701944,0.1830085978164203,0.1733117375967307,0.1761820472678533,2236137677.13
1762516800000,1762603199999,1762582380000,1762569600000,0.1614080496412769,0.1813836042292847,0.160485992521526,0.1786726564407232,2931787386.73
1762430400000,1762516799999,1762430400000,1762490760000,0.1673788881412172,0.1673796966706743,0.1577309151168883,0.1614060764854825,1870692567.34
1762344000000,1762430399999,1762411980000,1762350360000,0.1626950433529733,0.1684627228835242,0.1553047353213285,0.1673804032927323,2522587574.95
1762257600000,1762343999999,1762272960000,1762335600000,0.1672417314768987,0.1708845581263796,0.1524958188165486,0.1626947655751955,4796083615.84
1762171200000,1762257599999,1762171200000,1762227240000,0.1865722528330851,0.1865783587454303,0.1638271701019786,0.1672432793846464,3648984898.69
1762084800000,1762171199999,1762113360000,1762143540000,0.1872803223256497,0.1886766865927554,0.1824797538763622,0.186572865077983,967206771.61
1761998400000,1762084799999,1762073040000,1762006380000,0.1864321307611875,0.1883833428661205,0.1852987995370903,0.1872806519959793,849876270.77
1761912000000,1761998399999,1761983520000,1761912420000,0.1827134585441508,0.1877564244774907,0.1825097118013155,0.1864326307611874,1579798665.2
1761825600000,1761911999999,1761835560000,1761896940000,0.1923831342873703,0.1944886708775083,0.1767858707263312,0.1827103849348866,3112664145.9
1761739200000,1761825599999,1761787140000,1761806640000,0.1937554359578124,0.1972697957758443,0.1890765275459392,0.1923898423332218,2590886109.41
1761652800000,1761739199999,1761704520000,1761730080000,0.2003816727704216,0.2029072139037502,0.1912203398813004,0.193757138085472,2809894306.13
1761566400000,1761652799999,1761574380000,1761650520000,0.2056676291044108,0.2093150501446962,0.1998025519540154,0.2003816727704216,1984421014.07
1761480000000,1761566399999,1761565080000,1761493800000,0.1965900120389838,0.2064108500081174,0.1947933379494423,0.2056700569386628,1679630618.3
1761393600000,1761479999999,1761399240000,1761451800000,0.1976976913303515,0.1997181808560285,0.196251904901807,0.1965909245561434,1136645097.0
1761307200000,1761393599999,1761352440000,1761367680000,0.1948575291268446,0.199682902968867,0.194402276964267,0.1976984787020076,1546313969.51
1761220800000,1761307199999,1761285120000,1761220980000,0.190002030727756,0.1972164614464489,0.1898321734945325,0.1948439422011427,1769172844.59
1761134400000,1761220799999,1761135360000,1761210780000,0.1943862299105494,0.1953144072241542,0.1865014807546862,0.190002030727756,2573427089.23
1761048000000,1761134399999,1761103500000,1761079560000,0.2001555102101158,0.2054354298559558,0.1923315222353801,0.1943893053368653,2783675972.6
1760961600000,1761047999999,1760986680000,1760963640000,0.1953235789678597,0.2024474001649954,0.1919411450638917,0.2001135332302784,2148033212.91
1760875200000,1760961599999,1760937180000,1760909460000,0.1895988466930803,0.1985350335158483,0.1862948039201092,0.1953232391951325,1982258702.18
1760788800000,1760875199999,1760853840000,1760789700000,0.1848503621678885,0.1902226595351991,0.1845315517877883,0.1895988466930803,1238849110.78
1760702400000,1760788799999,1760707920000,1760739900000,0.1883663885110276,0.1907971336844283,0.1762109793335739,0.1848422583846561,3317944601.4
1760616000000,1760702399999,1760659560000,1760691480000,0.196327586325873,0.2012353984362312,0.185208538288649,0.1883674018443608,3498982322.3
1760529600000,1760615999999,1760560440000,1760608740000,0.2045315694601845,0.2079726427140665,0.1950978986683942,0.19632728329557,2877365448.62
1760443200000,1760529599999,1760445300000,1760481240000,0.2139908894992838,0.2155444042531687,0.1951043614898568,0.204531759936375,4841725505.57
1760356800000,1760443199999,1760433720000,1760398260000,0.2077954959194533,0.2182704224411555,0.2047458699854076,0.2139910956848508,4745994514.09
1760270400000,1760356799999,1760345520000,1760280900000,0.1854405585505705,0.2140492810222338,0.1817557461600858,0.207795372943392,5183180934.64
1760184000000,1760270399999,1760193960000,1760260380000,0.1931548223802438,0.2002343979546585,0.1790121927930494,0.1854428052897009,6948749971.97
1760097600000,1760183999999,1760147040000,1760174520000,0.24856263480935,0.2536236013321354,0.11478353911183,0.1931546375323044,8989277920.13
1760011200000,1760097599999,1760011320000,1760072460000,0.2555619913937763,0.2557088266099865,0.2419413171128267,0.248563268803744,3221293488.88
1759924800000,1760011199999,1759989480000,1759939920000,0.2473164322859674,0.2609310642592085,0.2441357587284318,0.2555631342509193,3136056856.52
1759838400000,1759924799999,1759850160000,1759923840000,0.2663120849773321,0.2678628763539246,0.2472570718657371,0.2473158497616956,4263519773.04
