timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1764504000000,1764590399999,1764563340000,1764524280000,873.6884676021641,899.5747640051933,871.0737198592851,877.5768071496929,1452982910.65
1764417600000,1764503999999,1764422340000,1764484440000,887.6465746860567,888.8530560154785,869.8357300545824,873.6898660932682,1357539865.0
1764331200000,1764417599999,1764387600000,1764394980000,895.5643627484149,904.3791060918809,877.3135238012082,887.6467832668254,2009647840.74
1764244800000,1764331199999,1764254100000,1764293820000,891.774572922412,902.5868893436577,885.2288382506447,895.5598068253724,1780660164.21
1764158400000,1764244799999,1764231480000,1764202980000,862.1033651217742,896.6287766752381,852.4906062328065,891.7533598806291,2040255308.97
1764072000000,1764158399999,1764155760000,1764126420000,864.4609749291591,866.9095755651942,838.9786188391316,862.1080401422689,2007620451.97
1763985600000,1764071999999,1764060180000,1764039120000,843.2236579881412,875.2612988481305,832.0480527096954,864.421149684434,2485800088.93
1763899200000,1763985599999,1763978520000,1763899320000,833.3476213198303,854.4036771099231,833.2874986460074,843.224785497611,1754920246.21
1763812800000,1763899199999,1763820240000,1763846700000,830.0794987156164,841.4925161000755,815.209316598992,833.3510903235806,2015396839.74
1763726400000,1763812799999,1763731860000,1763771400000,866.3346605614847,874.2615755005635,793.8208955406348,830.0787213023463,4772315493.23
1763640000000,1763726399999,1763658600000,1763726340000,895.6639910630078,912.6580304623117,866.3438676113609,866.3438676113609,3038816761.28
1763553600000,1763639999999,1763564280000,1763621700000,932.484699796513,939.2861310152001,872.9431601228399,895.619701720744,3254464199.33
1763467200000,1763553599999,1763533200000,1763480220000,906.4705946726658,937.384130604386,888.5147350911473,932.4823344977355,3623344374.67
1763380800000,1763467199999,1763422620000,1763453100000,927.2578789935455,936.9906603372459,893.004118008242,906.4824520959481,3757441489.76
1763294400000,1763380799999,1763330460000,1763359140000,932.1851773666197,948.5120529641808,910.9035113881739,927.2578789935455,2497118341.74
1763208000000,1763294399999,1763278260000,1763208000000,915.193832661093,944.0817290315081,915.193832661093,932.2019272199242,1963778260.08
1763121600000,1763207999999,1763130780000,1763167500000,928.0397267362711,932.6450122231323,889.4031711082778,915.3092644955707,3778463495.92
1763035200000,1763121599999,1763058360000,1763108580000,953.0198238787938,969.8464961434455,907.6197288788621,928.0466591511673,3034452280.88
1762948800000,1763035199999,1762998900000,1763008140000,958.2320502608902,976.9577450407586,940.8616723581598,953.0104871901278,2405972144.12
1762862400000,1762948799999,1762867500000,1762942200000,991.9202773760964,1005.9725522270002,956.8362730732408,958.2657252371449,2696896367.42
1762776000000,1762862399999,1762779300000,1762836480000,996.5888830712272,1017.6828480682883,977.1076706900706,991.9196761301503,2844075056.92
1762689600000,1762775999999,1762762020000,1762702620000,990.2310784568896,1005.938487949205,977.644017248013,996.5798223256786,2642212273.7
1762603200000,1762689599999,1762615740000,1762606920000,990.581908713512,1005.8635909156056,981.1117424258744,990.2227063363255,2913804231.85
1762516800000,1762603199999,1762596780000,1762569660000,949.2072415216682,994.4128352089494,927.1098464085276,990.5523415922252,3614944088.51
1762430400000,1762516799999,1762445220000,1762490760000,959.9534300302645,964.3312629208762,927.4452774626118,949.1805091744818,2798073439.02
